date,description,amount,type,merchant
2026-03-01,NEFT SALARY CREDIT XYZCORP,55000,income,Salary
2026-03-01,UPI-SWIGGY-ORDER,281.18,expense,Swiggy
2026-03-01,UPI-SWIGGY-ORDER,568.88,expense,Swiggy
2026-03-01,UPI-OLA-RIDE,231.7,expense,Ola
2026-03-02,POS FLIPKART PAYMENTS,1958.61,expense,Flipkart
2026-03-03,UPI-RENT-LANDLORD,15000,expense,Rent
2026-03-03,UPI-ZEPTO-ORDER,403.15,expense,Zepto
2026-03-04,UPI-OLA-RIDE,344.83,expense,Ola
2026-03-05,AUTO DEBIT EMI HDFC,7500,expense,EMI
2026-03-07,UPI-ZEPTO-ORDER,539.93,expense,Zepto
2026-03-08,UPI-SPOTIFY-SUBSCRIPTION,119,expense,Spotify
2026-03-08,UPI-UBER-RIDE,114.84,expense,Uber
2026-03-08,UPI-UBER-RIDE,188.04,expense,Uber
2026-03-11,UPI-ZOMATO-ORDER,243.29,expense,Zomato
2026-03-12,BILLPAY ELECTRICITY BOARD,1219.71,expense,Electricity Board
2026-03-13,UPI-SWIGGY-ORDER,365.39,expense,Swiggy
2026-03-13,UPI-OLA-RIDE,217.05,expense,Ola
2026-03-16,UPI-UBER-RIDE,373.62,expense,Uber
2026-03-16,UPI-UBER-RIDE,166.87,expense,Uber
2026-03-17,UPI-ZEPTO-ORDER,165.92,expense,Zepto
2026-03-17,UPI-OLA-RIDE,125.09,expense,Ola
2026-03-18,UPI-ZOMATO-ORDER,282.26,expense,Zomato
2026-03-18,UPI-UBER-RIDE,127.23,expense,Uber
2026-03-18,UPI-UBER-RIDE,296.76,expense,Uber
2026-03-18,UPI-JIO-RECHARGE,350.34,expense,Jio
2026-03-19,UPI-ZOMATO-ORDER,635.66,expense,Zomato
2026-03-19,POS AMAZON PAYMENTS,2219.15,expense,Amazon
2026-03-20,UPI-OLA-RIDE,369.67,expense,Ola
2026-03-20,POS APOLLO PHARMACY,780.59,expense,Apollo Pharmacy
2026-03-25,UPI-ZOMATO-ORDER,211.33,expense,Zomato
2026-03-27,UPI-OLA-RIDE,159.44,expense,Ola
2026-04-01,NEFT SALARY CREDIT XYZCORP,55000,income,Salary
2026-04-01,UPI-UBER-RIDE,295.27,expense,Uber
2026-04-02,UPI-UBER-RIDE,109.55,expense,Uber
2026-04-02,UPI-OLA-RIDE,110.55,expense,Ola
2026-04-02,UPI-UBER-RIDE,107.58,expense,Uber
2026-04-03,UPI-RENT-LANDLORD,15000,expense,Rent
2026-04-03,UPI-SWIGGY-ORDER,546.76,expense,Swiggy
2026-04-04,UPI-OLA-RIDE,192.75,expense,Ola
2026-04-05,AUTO DEBIT EMI HDFC,7500,expense,EMI
