description,category
UPI-SWIGGY-XYZ123,Food
UPI/ZOMATO/9876543,Food
POS SWIGGY INSTAMART,Food
UPI-ZEPTO-ORDER,Food
POS BARBEQUE NATION DINEOUT,Food
UPI-DOMINOS-PIZZA,Food
POS MCDONALDS,Food
UPI-SWIGGY-INSTAMART-882,Food
POS CAFE COFFEE DAY,Food
UPI-ZOMATO-DINEIN,Food
UPI-SWIGGY-RESTAURANT,Food
POS BURGER KING RESTAURANT,Food
NEFT SALARY CREDIT XYZCORP,Salary/Income
IMPS SALARY CREDIT INFOTECH,Salary/Income
NEFT SALARY MAR2026,Salary/Income
SALARY CREDIT COMPANY LTD,Salary/Income
IMPS SAL CREDIT,Salary/Income
NEFT SAL CREDIT TECHCORP,Salary/Income
CREDIT SALARY MONTHLY,Salary/Income
UPI-RENT-LANDLORD,Rent
NEFT RENT PAYMENT,Rent
UPI-RENT-OWNER-MONTHLY,Rent
IMPS HOUSE RENT,Rent
UPI-LANDLORD-RENT-AUG,Rent
NEFT HOUSE RENT TRANSFER,Rent
UPI-RENT-FLAT-MONTHLY,Rent
UPI-UBER-RIDE,Transport
UPI-OLA-RIDE,Transport
POS UBER TRIP,Transport
UPI-OLA-CABS,Transport
UPI-RAPIDO-RIDE,Transport
POS METRO CARD RECHARGE,Transport
UPI-UBER-AUTO,Transport
UPI-OLA-AUTO-RIDE,Transport
POS AMAZON PAYMENTS,Shopping
POS FLIPKART PAYMENTS,Shopping
UPI-MYNTRA-ORDER,Shopping
POS AMAZON RETAIL,Shopping
UPI-FLIPKART-PAY,Shopping
POS RELIANCE TRENDS,Shopping
UPI-AJIO-SHOPPING,Shopping
POS SNAPDEAL PURCHASE,Shopping
UPI-NETFLIX-SUBSCRIPTION,Subscription
UPI-SPOTIFY-SUBSCRIPTION,Subscription
UPI-GYM-FITNESSCLUB,Subscription
UPI-AMAZON-PRIME,Subscription
UPI-HOTSTAR-SUBSCRIPTION,Subscription
UPI-YOUTUBE-PREMIUM,Subscription
UPI-CULTFIT-MEMBERSHIP,Subscription
UPI-DISNEY-HOTSTAR,Subscription
BILLPAY ELECTRICITY BOARD,Utilities
UPI-JIO-RECHARGE,Utilities
UPI-AIRTEL-RECHARGE,Utilities
BILLPAY WATER BOARD,Utilities
UPI-BROADBAND-BILL,Utilities
BILLPAY GAS CONNECTION,Utilities
UPI-VI-RECHARGE,Utilities
UPI-BSNL-RECHARGE,Utilities
AUTO DEBIT EMI HDFC,EMI
ACH EMI DEBIT ICICI,EMI
AUTO DEBIT LOAN EMI SBI,EMI
NACH EMI BAJAJ FINANCE,EMI
ACH DEBIT CAR LOAN EMI,EMI
AUTO DEBIT HOME LOAN EMI,EMI
NACH DEBIT PERSONAL LOAN EMI,EMI
POS APOLLO PHARMACY,Healthcare
POS MEDPLUS PHARMACY,Healthcare
UPI-PRACTO-CONSULTATION,Healthcare
POS HOSPITAL BILLDESK,Healthcare
UPI-1MG-PHARMACY,Healthcare
POS DIAGNOSTIC LAB,Healthcare
UPI-DOCTOR-CONSULT,Healthcare
POS FORTIS HOSPITAL,Healthcare
UPI-UDEMY-COURSE,Education
NEFT COLLEGE FEE,Education
UPI-COURSERA-SUBSCRIPTION,Education
NEFT TUITION FEE PAYMENT,Education
UPI-BYJUS-COURSE,Education
NEFT SCHOOL FEE,Education
UPI-UNACADEMY-SUBSCRIPTION,Education
POS BOOKMYSHOW MOVIE,Entertainment
UPI-PVR-CINEMAS,Entertainment
UPI-INOX-TICKET,Entertainment
POS GAMING ZONE,Entertainment
UPI-BOOKMYSHOW-EVENT,Entertainment
POS MULTIPLEX TICKETS,Entertainment
UPI-SPORTS-EVENT-TICKET,Entertainment
CASH WITHDRAWAL ATM,Other
UPI-UNKNOWNSHOP-XYZ,Other
NEFT MISC TRANSFER,Other
UPI-FRIEND-TRANSFER,Other
POS GENERAL STORE,Other
UPI-PERSONAL-TRANSFER,Other
