,precision,recall,f1-score,support
EMI,1.0,1.0,1.0,1.0
Education,0.0,0.0,0.0,1.0
Entertainment,1.0,1.0,1.0,1.0
Food,0.42857142857142855,1.0,0.6,3.0
Healthcare,1.0,1.0,1.0,2.0
Other,0.0,0.0,0.0,1.0
Rent,1.0,1.0,1.0,1.0
Salary/Income,1.0,1.0,1.0,1.0
Shopping,1.0,1.0,1.0,2.0
Subscription,0.0,0.0,0.0,2.0
Transport,1.0,0.5,0.6666666666666666,2.0
Utilities,1.0,1.0,1.0,2.0
accuracy,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579
macro avg,0.7023809523809524,0.7083333333333334,0.6888888888888888,19.0
weighted avg,0.6992481203007518,0.7368421052631579,0.6912280701754386,19.0
